ZIP,Adult Commercial Hotel,Adult Standard Shelter,Adult Total,Adult Family Standard Shelter,FWC Cluster,FWC Commercial Hotel,FWC Standard Shelter,FWC Total
10451,,117,117,,24,26,21,71
10452,,200,200,,366,44,217,627
10453,,200,200,15,209,,241,450
10454,,179,179,,117,,369,486
10455,,,,,88,24,261,373
10456,,583,583,,338,,179,517
10457,,204,204,101,249,,819,1068
10458,48,0,48,15,216,,78,294
10459,,96,96,190,168,42,66,276
10460,,101,101,,251,,248,499
10461,,,,,4,,38,42
10463,,,,,1,,,1
10465,,,,,,,91,91
10466,,108,108,,17,,27,44
10467,,,,,166,,,166
10468,,121,121,174,137,,93,230
10469,,,,,6,,123,129
10470,,,,,85,,,85
10471,,,,,,30,,30
10472,,,,,237,,,237
10473,,,,,18,,,18
10474,,,,,40,,74,114
10475,,,,,,,97,97
11201,,262,262,,,,,0
11203,,364,364,,6,74,,80
11205,,228,228,150,,,64,64
11206,,258,258,,,56,152,208
11207,54,602,656,,79,128,334,541
11208,58,386,444,,1,,,1
11210,,,,,25,,,25
11211,,200,200,,,,,0
11212,,,,,35,57,697,789
11213,,,,,48,,46,94
11215,64,100,164,,0,53,6,59
11216,,411,411,34,16,58,64,138
11217,88,40,128,,,,,0
11218,,,,,,,64,64
11220,,150,150,,,,,0
11221,,465,465,,34,,135,169
11222,,257,257,89,,,,0
11223,,,,,,27,,27
11225,,,,,17,,,17
11226,,,,,17,,227,244
11232,,39,39,,,209,,209
11233,,666,666,,60,19,243,322
11234,,,,,,,198,198
11235,,,,60,,,99,99
11236,,,,173,,,98,98
11237,,400,400,,,35,108,143
11238,,103,103,,8,,,8
11249,,,,,,19,,19
10001,,200,200,,,78,,78
10002,,,,,,64,98,162
10003,,438,438,,,,,0
10005,,,,,,78,,78
10009,,276,276,,13,,28,41
10012,,43,43,,,,,0
10016,,851,851,,,107,200,307
10017,,130,130,,,,,0
10018,,,,,,70,,70
10019,,68,68,,,105,,105
10022,,223,223,,,,,0
10024,,103,103,,,41,54,95
10025,,212,212,100,,,320,320
10026,,,,204,,,,0
10027,,217,217,,20,,169,189
10029,,,,19,24,,219,243
10030,,159,159,,,,219,219
10031,,,,56,17,,219,236
10032,,200,200,,,,,0
10033,,92,92,,,33,,33
10035,,1087,1087,93,22,,17,39
10036,,,,157,,34,,34
10037,,,,,42,,66,108
10038,,181,181,45,,,,0
10039,,198,198,,,,33,33
10065,,80,80,,,,,0
11001,,,,,,35,,35
11101,,200,200,,,44,,44
11354,,101,101,,,71,,71
11368,90,,90,,,,54,54
11369,74,,74,,,,316,316
11370,,,,,,10,112,122
11373,,,,,,37,198,235
11377,,,,,,52,76,128
11378,78,,78,,,,,0
11417,,,,,,10,,10
11420,,,,,,49,,49
11422,144,,144,,,,,0
11423,,,,,,70,,70
11426,,,,,,31,,31
11428,,,,,,30,,30
11430,,174,174,,,45,,45
11432,,266,266,144,,140,135,275
11433,,65,65,,,35,65,100
11434,478,,478,,,116,498,614
11435,191,80,271,,,95,151,246
11436,200,,200,,,,,0
11691,,,,,,37,,37
11692,,,,160,,,,0
10301,,,,,,,46,46
